# Atmospheric vertical profile: 800 17
 IDX       PRE       TEM       TED       DRY         NH3         H2O         H2S      NH3(l)      NH3(s)      H2O(l)      H2O(s)    NH4SH(s)   ENTROPY       CPT     THETA    THETAV
   1      6500    2095.6    2095.6   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.7457    2095.6   2049.37
   2   6410.58   2088.24   2088.24   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.7242    2095.6   2049.37
   3   6322.39    2080.9    2080.9   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.7028    2095.6   2049.37
   4   6235.41   2073.58   2073.58   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.6814    2095.6   2049.37
   5   6149.63   2066.28   2066.28   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.6599    2095.6   2049.37
   6   6065.03      2059      2059   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.6384    2095.6   2049.37
   7   5981.59   2051.74   2051.74   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.6169    2095.6   2049.37
   8    5899.3   2044.51   2044.51   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.5954    2095.6   2049.37
   9   5818.14   2037.29   2037.29   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.5739    2095.6   2049.37
  10    5738.1    2030.1    2030.1   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.5523    2095.6   2049.37
  11   5659.16   2022.92   2022.92   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.5308    2095.6   2049.37
  12   5581.31   2015.77   2015.77   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.5092    2095.6   2049.37
  13   5504.52   2008.63   2008.63   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.4876    2095.6   2049.37
  14    5428.8   2001.52   2001.52   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    32.466    2095.6   2049.37
  15   5354.11   1994.43   1994.43   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.4443    2095.6   2049.37
  16   5280.45   1987.35   1987.35   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.4227    2095.6   2049.37
  17   5207.81    1980.3    1980.3   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    32.401    2095.6   2049.37
  18   5136.16   1973.27   1973.27   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.3794    2095.6   2049.37
  19   5065.51   1966.26   1966.26   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.3577    2095.6   2049.37
  20   4995.82   1959.26   1959.26   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    32.336    2095.6   2049.37
  21   4927.09   1952.29   1952.29   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.3143    2095.6   2049.37
  22   4859.31   1945.37   1945.37   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.2927    2095.6   2049.37
  23   4792.46   1938.45   1938.45   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    32.271    2095.6   2049.37
  24   4726.53   1931.54   1931.54   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.2493    2095.6   2049.37
  25    4661.5   1924.65   1924.65   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.2275    2095.6   2049.37
  26   4597.37   1917.78   1917.78   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.2058    2095.6   2049.37
  27   4534.13   1910.93   1910.93   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    32.184    2095.6   2049.37
  28   4471.75    1904.1    1904.1   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.1623    2095.6   2049.37
  29   4410.23    1897.3    1897.3   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.1405    2095.6   2049.37
  30   4349.56   1890.51   1890.51   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.1187    2095.6   2049.37
  31   4289.72   1883.74   1883.74   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    32.097    2095.6   2049.37
  32   4230.71   1876.99   1876.99   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.0752    2095.6   2049.37
  33    4172.5   1870.26   1870.26   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.0534    2095.6   2049.37
  34    4115.1   1863.55   1863.55   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.0316    2095.6   2049.37
  35   4058.49   1856.86   1856.86   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   32.0098    2095.6   2049.37
  36   4002.66   1850.18   1850.18   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    31.988    2095.6   2049.37
