#        TEM  CP(ARMADA)   CP(JAMRT)        DIFF
      73.040      21.238      22.872      -1.635
      73.837      21.261      22.872      -1.611
      74.640      21.286      22.872      -1.587
      75.452      21.311      22.872      -1.561
      76.272      21.338      22.872      -1.535
      77.099      21.365      22.872      -1.507
      77.934      21.393      22.872      -1.479
      78.777      21.423      22.872      -1.450
      79.628      21.453      22.872      -1.419
      80.487      21.485      22.872      -1.388
      81.354      21.517      22.872      -1.355
      82.229      21.551      22.872      -1.322
      83.112      21.585      22.872      -1.287
      84.003      21.621      22.872      -1.252
      84.902      21.657      22.872      -1.215
      85.809      21.695      22.872      -1.178
      86.724      21.733      22.872      -1.139
      87.648      21.773      22.872      -1.100
      88.579      21.813      22.872      -1.059
      89.519      21.855      22.872      -1.018
      90.466      21.897      22.872      -0.975
      91.422      21.941      22.872      -0.932
      92.386      21.985      22.872      -0.887
      93.358      22.030      22.872      -0.842
      94.338      22.077      22.872      -0.796
      95.327      22.124      22.872      -0.749
      96.323      22.172      22.872      -0.701
      97.328      22.221      22.872      -0.652
      98.341      22.270      22.872      -0.602
      99.363      22.321      22.872      -0.552
     100.392      22.372      22.872      -0.500
     101.430      22.424      22.872      -0.448
     102.476      22.477      22.872      -0.395
     103.530      22.531      22.872      -0.342
     104.593      22.585      22.872      -0.287
     105.664      22.640      22.872      -0.232
     106.743      22.695      22.872      -0.177
     107.831      22.752      22.872      -0.121
     108.927      22.808      22.872      -0.064
     110.031      22.866      22.874      -0.009
     111.144      22.923      22.931      -0.008
     112.265      22.981      22.989      -0.008
     113.394      23.040      23.047      -0.008
     114.532      23.099      23.106      -0.007
     115.678      23.158      23.165      -0.007
     116.833      23.218      23.224      -0.006
     117.996      23.278      23.284      -0.006
     119.168      23.338      23.344      -0.006
     120.348      23.398      23.404      -0.005
     121.537      23.459      23.464      -0.005
     122.735      23.520      23.524      -0.004
     123.940      23.581      23.585      -0.004
     125.155      23.642      23.646      -0.004
     126.378      23.703      23.706      -0.003
     127.609      23.764      23.767      -0.003
     128.849      23.825      23.829      -0.003
     130.097      23.887      23.889      -0.003
     131.353      23.948      23.950      -0.003
     132.618      24.009      24.011      -0.003
     133.891      24.069      24.072      -0.002
     135.171      24.130      24.132      -0.002
     136.460      24.190      24.193      -0.002
     137.755      24.251      24.253      -0.003
     139.058      24.311      24.313      -0.003
     140.368      24.370      24.373      -0.003
     141.684      24.430      24.433      -0.003
     143.005      24.489      24.492      -0.003
     144.331      24.547      24.550      -0.003
     145.662      24.605      24.609      -0.003
     146.995      24.663      24.667      -0.004
     148.331      24.720      24.724      -0.004
     149.667      24.777      24.781      -0.004
     151.003      24.833      24.837      -0.005
     152.337      24.888      24.892      -0.004
     153.704      24.944      24.948      -0.004
     155.128      25.000      25.005      -0.005
     156.563      25.057      25.062      -0.005
     158.007      25.113      25.119      -0.006
     159.461      25.168      25.175      -0.006
