# TEM     PRE          CP           Z
 2290.05  9.99821e+09  3.32283e+08  1.59071
 2289.95  9.99641e+09  3.32281e+08  1.59065
 2289.85  9.99462e+09  3.32279e+08  1.59058
 2289.76  9.99282e+09  3.32276e+08  1.59052
 2289.66  9.99103e+09  3.32274e+08  1.59046
 2289.57  9.98924e+09  3.32272e+08  1.59039
 2289.47  9.98744e+09  3.32269e+08  1.59033
 2289.37  9.98565e+09  3.32267e+08  1.59026
 2289.28  9.98386e+09  3.32265e+08  1.5902
 2289.18  9.98206e+09  3.32262e+08  1.59014
 2289.08  9.98027e+09  3.3226e+08  1.59007
 2288.99  9.97848e+09  3.32258e+08  1.59001
 2288.89  9.97669e+09  3.32255e+08  1.58995
 2288.79  9.97489e+09  3.32253e+08  1.58988
 2288.7  9.9731e+09  3.32251e+08  1.58982
 2288.6  9.97131e+09  3.32248e+08  1.58976
 2288.5  9.96952e+09  3.32246e+08  1.58969
 2288.41  9.96773e+09  3.32244e+08  1.58963
 2288.31  9.96594e+09  3.32241e+08  1.58956
 2288.21  9.96414e+09  3.32239e+08  1.5895
 2288.12  9.96235e+09  3.32237e+08  1.58944
 2288.02  9.96056e+09  3.32234e+08  1.58937
 2287.92  9.95877e+09  3.32232e+08  1.58931
 2287.83  9.95698e+09  3.3223e+08  1.58925
 2287.73  9.95519e+09  3.32227e+08  1.58918
 2287.63  9.9534e+09  3.32225e+08  1.58912
 2287.54  9.95161e+09  3.32223e+08  1.58906
 2287.44  9.94982e+09  3.3222e+08  1.58899
 2287.34  9.94803e+09  3.32218e+08  1.58893
 2287.25  9.94624e+09  3.32216e+08  1.58887
 2287.15  9.94445e+09  3.32213e+08  1.5888
 2287.05  9.94266e+09  3.32211e+08  1.58874
 2286.96  9.94088e+09  3.32209e+08  1.58867
 2286.86  9.93909e+09  3.32206e+08  1.58861
 2286.76  9.9373e+09  3.32204e+08  1.58855
 2286.67  9.93551e+09  3.32202e+08  1.58848
 2286.57  9.93372e+09  3.32199e+08  1.58842
 2286.47  9.93193e+09  3.32197e+08  1.58836
 2286.38  9.93015e+09  3.32195e+08  1.58829
 2286.28  9.92836e+09  3.32192e+08  1.58823
 2286.18  9.92657e+09  3.3219e+08  1.58817
 2286.09  9.92478e+09  3.32188e+08  1.5881
 2285.99  9.923e+09  3.32185e+08  1.58804
 2285.89  9.92121e+09  3.32183e+08  1.58798
 2285.8  9.91942e+09  3.32181e+08  1.58791
 2285.7  9.91764e+09  3.32178e+08  1.58785
